timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1598661784044,6,HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,1100,591,1,1,null,0,2032,2
1598661786076,6,http://localhost:8081/ELibrary/,200,,Thread Group 1-1,text,,1100,591,1,1,http://localhost:8081/ELibrary/,6,0,2
1598661786083,9017,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,1133,790,1,1,null,0,0,1
1598661786083,9017,http://localhost:8081/ELibrary/AdminLogin,200,,Thread Group 1-1,text,,1133,790,1,1,http://localhost:8081/ELibrary/AdminLogin,9017,0,1
1598661795101,8061,ViewLibrarian,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,2621,191,1,1,null,0,1,1
1598661795101,8061,HTTP Request,200,,Thread Group 1-1,text,,2621,191,1,1,http://localhost:8081/ELibrary/ViewLibrarian,8061,0,1
1598661803163,7,HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,1100,591,1,1,null,0,561,2
1598661803724,7,http://localhost:8081/ELibrary/,200,,Thread Group 1-1,text,,1100,591,1,1,http://localhost:8081/ELibrary/,6,0,2
1598661803732,9021,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,1133,790,1,1,null,0,0,2
1598661803732,9021,http://localhost:8081/ELibrary/AdminLogin,200,,Thread Group 1-1,text,,1133,790,1,1,http://localhost:8081/ELibrary/AdminLogin,9021,0,2
1598661812754,8064,ViewLibrarian,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,2621,191,1,1,null,0,0,1
1598661812754,8064,HTTP Request,200,,Thread Group 1-1,text,,2621,191,1,1,http://localhost:8081/ELibrary/ViewLibrarian,8064,0,1
1598661820819,0,HomePage,,,Thread Group 1-1,,,0,0,1,1,null,0,0,0
1598661920219,91,HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,1100,591,1,1,null,0,2542,2
1598661922760,91,http://localhost:8081/ELibrary/,200,,Thread Group 1-1,text,,1100,591,1,1,http://localhost:8081/ELibrary/,91,0,2
1598661922852,3018,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,1133,790,1,1,null,0,1,2
1598661922852,3018,http://localhost:8081/ELibrary/AdminLogin,200,,Thread Group 1-1,text,,1133,790,1,1,http://localhost:8081/ELibrary/AdminLogin,3018,0,2
1598661925871,6720,ViewLibrarian,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,2621,191,1,1,null,0,0,1
1598661925871,6720,HTTP Request,200,,Thread Group 1-1,text,,2621,191,1,1,http://localhost:8081/ELibrary/ViewLibrarian,6720,0,1
1598661932592,5,HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,1100,591,1,1,null,0,4885,1
1598661937475,5,http://localhost:8081/ELibrary/,200,,Thread Group 1-1,text,,1100,591,1,1,http://localhost:8081/ELibrary/,5,0,1
1598661937481,3016,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,1133,790,1,1,null,0,0,1
1598661937481,3016,http://localhost:8081/ELibrary/AdminLogin,200,,Thread Group 1-1,text,,1133,790,1,1,http://localhost:8081/ELibrary/AdminLogin,3015,0,1
1598661940498,5065,ViewLibrarian,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,2621,191,1,1,null,0,0,1
1598661940498,5065,HTTP Request,200,,Thread Group 1-1,text,,2621,191,1,1,http://localhost:8081/ELibrary/ViewLibrarian,5065,0,1
1598661945563,7,HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,1100,591,1,1,null,0,3417,2
1598661948980,7,http://localhost:8081/ELibrary/,200,,Thread Group 1-1,text,,1100,591,1,1,http://localhost:8081/ELibrary/,6,0,2
1598661948988,3023,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,1133,790,1,1,null,0,3,1
1598661948990,3023,http://localhost:8081/ELibrary/AdminLogin,200,,Thread Group 1-1,text,,1133,790,1,1,http://localhost:8081/ELibrary/AdminLogin,3023,0,1
1598661952014,5079,ViewLibrarian,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,2621,191,1,1,null,0,2,1
1598661952015,5079,HTTP Request,200,,Thread Group 1-1,text,,2621,191,1,1,http://localhost:8081/ELibrary/ViewLibrarian,5079,0,1
1598661957094,10,HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,1100,591,1,1,null,0,4360,3
1598661961455,10,http://localhost:8081/ELibrary/,200,,Thread Group 1-1,text,,1100,591,1,1,http://localhost:8081/ELibrary/,10,0,3
1598661961466,3020,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,1133,790,1,1,null,0,0,2
1598661961466,3020,http://localhost:8081/ELibrary/AdminLogin,200,,Thread Group 1-1,text,,1133,790,1,1,http://localhost:8081/ELibrary/AdminLogin,3019,0,2
1598661964486,5054,ViewLibrarian,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,2621,191,1,1,null,0,1,1
1598661964487,5054,HTTP Request,200,,Thread Group 1-1,text,,2621,191,1,1,http://localhost:8081/ELibrary/ViewLibrarian,5054,0,1
1598661969542,6,HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,1100,591,1,1,null,0,3963,1
1598661973504,6,http://localhost:8081/ELibrary/,200,,Thread Group 1-1,text,,1100,591,1,1,http://localhost:8081/ELibrary/,6,0,1
1598661973511,3023,Login,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,,1133,790,1,1,null,0,1,2
